CRDS_GOSSIP_NUM_ACTIVE,CRDS_GOSSIP_PUSH_FANOUT,CRDS_GOSSIP_PUSH_MSG_TIMEOUT_MS,CRDS_GOSSIP_PRUNE_MSG_TIMEOUT_MS,CRDS_GOSSIP_PRUNE_STAKE_THRESHOLD_PCT,CRDS_GOSSIP_PRUNE_MIN_INGRESS_NODES,PUSH_ACTIVE_TIMEOUT_MS,MAX_PUSHED_TO_TIMEOUT_MS,RECV_BATCH_MAX_CPU,RECV_BATCH_MAX_GPU,FORWARD_TRANSACTIONS_TO_LEADER_AT_SLOT_OFFSET,NUM_THREADS,TOTAL_BUFFERED_PACKETS,MAX_NUM_TRANSACTIONS_PER_BATCH,LARGEST_CONFIRMED_ROOT_UPLOAD_DELAY,NUM_INSERT_THREADS,RECEIVE_ENTRY_COUNT_THRESHOLD,NUM_BAD_SLOTS,SLOT_TO_RESOLVE,BROADCAST_PEER_UPDATE_INTERVAL_MS,DATA_PLANE_FANOUT,GOSSIP_SLEEP_MILLIS,MAX_CRDS_OBJECT_SIZE,MAX_PROTOCOL_HEADER_SIZE,MAX_SNAPSHOT_HASHES,GOSSIP_PING_CACHE_CAPACITY,GOSSIP_PING_CACHE_TTL,VOTE_THRESHOLD_DEPTH,SWITCH_FORK_THRESHOLD,CRDS_GOSSIP_DEFAULT_BLOOM_ITEMS,CRDS_GOSSIP_PULL_CRDS_TIMEOUT_MS,CRDS_GOSSIP_PULL_MSG_TIMEOUT_MS,FAILED_INSERTS_RETENTION_MS,DEFAULT_MAX_LEDGER_SHREDS,DEFAULT_MIN_MAX_LEDGER_SHREDS,DEFAULT_PURGE_SLOT_INTERVAL,GRACE_TICKS_FACTOR,MAX_GRACE_SLOTS,MAX_ENTRY_RECV_PER_ITER,SUPERMINORITY_THRESHOLD,MAX_UNCONFIRMED_SLOTS,NUM_PACKETS,PACKETS_PER_BATCH,INTERVAL_MS,SHRUNKEN_ACCOUNT_PER_SEC,CLEAN_INTERVAL_BLOCKS,PAGE_SIZE,DEFAULT_NUM_THREADS,DEFAULT_NUM_DIRS,ITER_BATCH_SIZE,MAX_LEADER_SCHEDULE_STAKES,VOTE_THRESHOLD_SIZE,BOOTSTRAP_VALIDATOR_LAMPORTS,MAX_STREAM_SIZE,NUM_BLOCKHASH_CONFIRMATIONS,MIN_LEADER_SLOT_PCT,NUM_BLOCKS_TO_UPLOAD_IN_PARALLEL,MAX_COMPLETED_SLOTS_IN_CHANNEL,MAX_TURBINE_PROPAGATION_IN_MS,MAX_DATA_SHREDS_PER_SLOT,SIGN_SHRED_GPU_MIN,MAX_SCHEDULES,DEFAULT_HEAP_SIZE,DEFAULT_TICKS_PER_SECOND,DEFAULT_TICKS_PER_SLOT,DEFAULT_HASHES_PER_SECOND,DEFAULT_DEV_SLOTS_PER_EPOCH,DEFAULT_TARGET_LAMPORTS_PER_SIGNATURE,NUM_CONSECUTIVE_LEADER_SLOTS,MAX_HASH_AGE_IN_SECONDS,MAX_TRANSACTION_FORWARDING_DELAY_GPU,MAX_TRANSACTION_FORWARDING_DELAY,MAX_LEADER_SCHEDULE_EPOCH_OFFSET,MINIMUM_SLOTS_PER_EPOCH,DEFAULT_LAMPORTS_PER_BYTE_YEAR,DEFAULT_EXEMPTION_THRESHOLD,DEFAULT_BURN_PERCENT,ACCOUNT_STORAGE_OVERHEAD,SLOT_MAX_ENTRIES,STAKE_HISTORY_MAX_ENTRIES,SLOT_HISTORY_MAX_ENTRIES,RECENT_BLOCKHASHES_MAX_ENTRIES,DEFAULT_INITIAL,DEFAULT_TERMINAL,DEFAULT_TAPER,DEFAULT_FOUNDATION,DEFAULT_FOUNDATION_TERM,PBKDF2_ROUNDS,PBKDF2_BYTES,AVG_TPS,DROPRATE
30,5,32092,434,0.14289937507996628,2,55879,46438,945,4638,1,4,463104,103,84,1,8,9,31,771,202,102,925,204,15,16615,590,7,0.42418798613207837,467,15371,61224,18262,191189588,53994913,514,2,2,558,0.3272992024823541,4,8893,277,93,256,102,4032,8,3,968,4,0.6850437208102409,43,3489280769,2,81.67973715297862,32,99289,102,34567,280,10,30247,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22595.436,0.62
30,6,27019,471,0.16343231842952416,2,61525,45873,1070,5074,1,4,518796,117,82,2,9,8,30,816,212,92,937,203,13,14824,647,8,0.4207969877100804,478,14082,54760,21582,216449981,50900409,511,2,1,483,0.34332188879776615,5,8269,267,109,246,91,4354,7,3,1063,4,0.6043450918485035,45,3143403545,2,81.44400665257024,31,98723,91,34148,245,10,30893,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22617.584,0.63
27,5,32226,485,0.14929227014020616,3,55676,50469,954,4956,1,4,516680,109,88,1,9,9,29,807,188,96,958,232,13,16714,595,7,0.36416442707081165,534,15671,58989,21921,215722892,52827742,531,2,2,511,0.35297635037167074,4,8622,252,103,255,90,4077,7,3,922,5,0.617677202338418,41,3685982784,3,77.9953126099301,32,100751,108,33156,236,10,32131,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22924.824,0.6
26,6,29741,504,0.14566342750384617,3,60791,48469,918,5562,1,4,466617,107,83,2,8,9,32,767,215,98,828,186,14,15069,530,7,0.40543042131963686,555,15296,62962,21656,172611822,43953391,587,2,1,540,0.33701664842750556,5,7120,228,102,269,93,4170,8,3,1058,5,0.6234635349255988,43,3259803723,3,90.02064179236488,34,108924,100,35031,291,10,33414,154,64,1952331,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22797.637,0.61
31,5,32421,510,0.13614631734448432,3,61833,55058,936,4245,1,4,582557,127,76,2,9,9,32,745,174,108,787,224,12,15110,555,9,0.45340965467475897,424,16200,61032,19948,213371381,58028032,466,2,2,474,0.37881543221822855,5,7112,259,99,267,83,3710,8,4,950,4,0.7141048832901661,40,3152021523,3,75.19793664396872,34,105230,110,29914,240,9,33433,181,59,2125670,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22936.516,0.61
29,5,25256,464,0.132351430628864,3,56904,53142,1112,5080,1,4,457321,106,93,2,10,9,32,876,199,101,943,233,12,14453,541,9,0.41687546691411137,426,17259,65610,16679,200939584,51052468,516,2,1,534,0.2920762289587558,5,7615,255,113,267,85,4022,8,3,840,4,0.6947536541703868,38,3181442717,2,68.07653448732545,34,98675,95,28480,218,8,36614,169,53,2252762,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22631.1,0.63
33,6,30356,442,0.16586036390481662,3,56379,57566,935,4967,1,4,573398,108,82,2,8,9,27,892,174,108,965,225,13,16793,667,7,0.43938699326849884,423,16902,62771,19054,177993209,45024295,427,2,2,582,0.29821048666757166,5,8839,282,116,282,103,4404,8,3,898,5,0.7226371000631131,38,2935033873,3,90.79584260444423,28,98323,102,34707,285,10,31796,136,54,1875155,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23050.824,0.61
28,5,32131,396,0.16688732811839846,3,52234,48981,860,5509,1,4,516144,92,85,2,8,8,25,730,170,117,951,207,15,17502,562,6,0.4271610098087826,533,15266,56159,17461,171402486,46971710,436,1,1,556,0.3454659795832339,4,9469,261,105,234,106,4664,8,3,870,4,0.5615949177132181,47,3800300498,3,74.84048391276998,28,83287,94,31119,258,11,28467,186,60,2143024,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22871.78,0.62
30,6,26240,481,0.15344196517611394,2,54280,55987,988,4629,1,4,534766,124,98,2,7,10,25,851,190,87,965,213,11,15485,582,9,0.4445701152613647,420,13669,69404,20341,214834314,46766094,556,2,1,425,0.34283424934871637,4,7133,224,101,216,100,4169,8,4,1120,5,0.7027337766336916,43,4001270250,2,72.25781126612239,31,102520,93,31141,260,8,32880,160,68,2155534,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23061.623,0.61
32,5,27289,472,0.12836307325084367,3,62630,47545,1098,5565,1,4,487359,100,99,2,9,9,29,886,167,94,1003,196,13,15834,701,8,0.4554574216430817,565,15573,60745,20644,202777583,51552866,529,1,1,436,0.31655953388837876,4,8946,287,94,269,113,4275,8,3,1092,5,0.6269568589927781,41,3813834979,2,81.98029498582676,36,96132,112,29204,242,11,34665,160,65,2106718,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23059.455,0.59
32,6,31094,424,0.16719481631188415,2,51828,53776,963,4279,1,4,497768,128,98,2,10,9,27,787,214,111,794,231,14,15158,551,7,0.3539390208901216,428,13842,51971,19660,201400646,57110772,550,1,1,562,0.36324758000470464,4,8632,213,85,238,85,3485,8,4,1135,4,0.6742224176423306,43,3284670202,3,67.92153623573783,31,108962,114,38148,292,9,29633,162,72,2290719,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23763.22,0.61
30,6,28488,459,0.16547124669969787,3,67966,49866,1008,4399,1,4,575810,112,78,2,9,9,32,880,204,106,915,222,13,15513,600,7,0.3360221336454297,576,12567,58041,17760,205315113,54760969,589,2,2,580,0.29872039172839804,5,6971,297,111,208,104,3574,8,3,937,4,0.6011334936512414,38,3745645008,3,76.71932942879829,31,103447,92,36014,268,10,37871,140,66,1742938,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23162.771,0.6
